epoch,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,32.646873474121094,32.7291145324707,32.794586181640625,0.21286869049072266,1.2372221946716309
2,32.78086853027344,32.81224060058594,32.682979583740234,0.22283656895160675,1.2496163845062256
3,32.81843948364258,33.07283020019531,32.889583587646484,0.21051481366157532,1.2343133687973022
4,33.294254302978516,32.84415817260742,33.14484786987305,0.22221927344799042,1.2488452196121216
5,33.05757141113281,33.180885314941406,33.21773910522461,0.21812944114208221,1.2437480688095093
6,32.97771453857422,33.19383239746094,33.00779724121094,0.23262730240821838,1.261911153793335
7,33.11933135986328,33.1961669921875,33.11892318725586,0.21795299649238586,1.2435286045074463
8,33.35768127441406,33.005001068115234,33.309295654296875,0.21936550736427307,1.2452863454818726
9,33.3322868347168,33.22433853149414,33.246849060058594,0.22306330502033234,1.2498997449874878
10,33.52534103393555,33.279510498046875,33.30475616455078,0.2192404717206955,1.2451306581497192
