epoch,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,1.7605088949203491,1.751450538635254,1.748654842376709,0.5066317319869995,1.6596914529800415
2,1.437866449356079,1.453385353088379,1.439027190208435,0.43255847692489624,1.5411956310272217
3,1.5242146253585815,1.517996072769165,1.5122411251068115,0.384978711605072,1.4695830345153809
4,1.5598926544189453,1.556584119796753,1.557464599609375,0.38178494572639465,1.4648970365524292
5,1.5935291051864624,1.5885967016220093,1.5765107870101929,0.3739599883556366,1.4534790515899658
6,1.6122901439666748,1.6036949157714844,1.6061580181121826,0.3753097951412201,1.455442190170288
7,1.6258691549301147,1.6176599264144897,1.617910385131836,0.3840370178222656,1.4681997299194336
8,1.6383432149887085,1.626546859741211,1.6359376907348633,0.34501200914382935,1.4120068550109863
9,1.6603749990463257,1.6399892568588257,1.658806324005127,0.3952620327472687,1.4847731590270996
10,1.6556241512298584,1.6604564189910889,1.6527576446533203,0.3743136525154114,1.4539930820465088
