epoch,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,31.667888641357422,31.7548828125,31.818309783935547,0.21618226170539856,1.2413285970687866
2,31.92092514038086,31.965805053710938,31.796743392944336,0.20841388404369354,1.2317228317260742
3,31.9923152923584,32.29170227050781,32.09406280517578,0.21876437962055206,1.2445380687713623
4,32.55982208251953,32.127296447753906,32.440185546875,0.2276054322719574,1.2555898427963257
5,32.35757064819336,32.483489990234375,32.55271911621094,0.21681591868400574,1.2421154975891113
6,32.33715057373047,32.54393768310547,32.35601043701172,0.22178688645362854,1.248305320739746
7,32.51470184326172,32.602020263671875,32.51148986816406,0.20795290172100067,1.2311551570892334
8,32.75483703613281,32.377723693847656,32.71418762207031,0.2188463658094406,1.2446399927139282
9,32.747406005859375,32.629417419433594,32.66828155517578,0.21135810017585754,1.2353546619415283
10,32.95906066894531,32.71790313720703,32.73760986328125,0.21700429916381836,1.24234938621521
