epoch,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,2.013295888900757,2.012080192565918,2.0055999755859375,0.42824751138687134,1.534565806388855
2,1.4482215642929077,1.4404348134994507,1.4270973205566406,0.3046160042285919,1.3561041355133057
3,1.5057485103607178,1.5340068340301514,1.523728370666504,0.2518078684806824,1.286348819732666
4,1.5697101354599,1.5756052732467651,1.5489416122436523,0.2552250027656555,1.2907519340515137
5,1.6177356243133545,1.6029860973358154,1.5942634344100952,0.22878992557525635,1.257077932357788
6,1.6285197734832764,1.6342318058013916,1.6329858303070068,0.2361842393875122,1.2664076089859009
7,1.6399563550949097,1.6457685232162476,1.6480183601379395,0.23534433543682098,1.2653443813323975
8,1.6401162147521973,1.6458826065063477,1.6524204015731812,0.21824567019939423,1.2438926696777344
9,1.6677755117416382,1.699853777885437,1.6797890663146973,0.23378674685955048,1.2633750438690186
10,1.6447219848632812,1.674902319908142,1.6744322776794434,0.2110387086868286,1.2349601984024048
