epoch,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,1.7202070951461792,1.6938947439193726,1.7115380764007568,0.21204721927642822,1.236206293106079
2,1.7116212844848633,1.7086310386657715,1.691610336303711,0.20458216965198517,1.227012276649475
3,1.7082890272140503,1.7326091527938843,1.720557689666748,0.21270735561847687,1.2370226383209229
4,1.7190132141113281,1.7246074676513672,1.6945894956588745,0.21077373623847961,1.234632968902588
5,1.7368425130844116,1.721109390258789,1.7100350856781006,0.20330798625946045,1.225449800491333
6,1.7272765636444092,1.7373569011688232,1.737587332725525,0.20864780247211456,1.2320109605789185
7,1.7226728200912476,1.7315053939819336,1.7320970296859741,0.21977344155311584,1.245794415473938
8,1.7179502248764038,1.7204312086105347,1.726896047592163,0.19307173788547516,1.2129697799682617
9,1.738317847251892,1.7688697576522827,1.7486909627914429,0.2129642516374588,1.2373404502868652
10,1.7067623138427734,1.7407310009002686,1.7366323471069336,0.20195193588733673,1.2237892150878906
