epoch,step,train_loss,val_loss,perplexity
1,0,4.366888999938965,,
1,10,4.3590288162231445,,
1,20,4.357870101928711,,
1,30,4.347939968109131,,
1,40,4.331637859344482,,
1,50,4.316384792327881,,
1,60,4.273223876953125,,
1,70,4.26627254486084,,
1,80,4.101064682006836,,
1,86,3.946125030517578,4.102616250514984,60.49835959366991
2,0,3.9893643856048584,,
2,10,3.8848257064819336,,
2,20,3.75534725189209,,
2,30,3.5557661056518555,,
2,40,3.5736498832702637,,
2,50,3.6835105419158936,,
2,60,3.3489573001861572,,
2,70,3.5651493072509766,,
2,80,3.363957405090332,,
2,86,3.537020206451416,3.453918218612671,31.624059852217332
3,0,3.511265277862549,,
3,10,3.525481939315796,,
3,20,3.25884747505188,,
3,30,3.0791549682617188,,
3,40,3.106144905090332,,
3,50,3.392655372619629,,
3,60,2.8312337398529053,,
3,70,3.1017889976501465,,
3,80,2.9900283813476562,,
3,86,2.986462116241455,3.0185917615890503,20.46245536912207
4,0,3.0369625091552734,,
4,10,3.154909610748291,,
4,20,2.689340829849243,,
4,30,2.684483528137207,,
4,40,2.705467700958252,,
4,50,3.33077335357666,,
4,60,2.411428451538086,,
4,70,2.586207389831543,,
4,80,2.741032123565674,,
4,86,2.544555902481079,2.7012343406677246,14.898109722887458
5,0,2.617149829864502,,
5,10,2.9238758087158203,,
5,20,2.3200316429138184,,
5,30,2.315760612487793,,
5,40,2.471001148223877,,
5,50,3.209148406982422,,
5,60,2.0699334144592285,,
5,70,2.3951265811920166,,
5,80,2.5893187522888184,,
5,86,2.322323799133301,2.585178703069687,13.265659492235338
6,0,2.3112308979034424,,
6,10,2.635671854019165,,
6,20,2.1355462074279785,,
6,30,2.024091958999634,,
6,40,2.2802040576934814,,
6,50,2.9784045219421387,,
6,60,1.8926467895507812,,
6,70,2.3282883167266846,,
6,80,2.4322571754455566,,
6,86,2.2239749431610107,2.5348063111305237,12.613987422448927
7,0,2.014096975326538,,
7,10,2.3751978874206543,,
7,20,1.9968138933181763,,
7,30,1.8101599216461182,,
7,40,2.0501537322998047,,
7,50,2.690650224685669,,
7,60,1.7212533950805664,,
7,70,2.251147747039795,,
7,80,2.2502455711364746,,
7,86,2.0811023712158203,2.503273904323578,12.222443640384686
8,0,1.7257118225097656,,
8,10,2.146700382232666,,
8,20,1.8908731937408447,,
8,30,1.6214556694030762,,
8,40,1.8246612548828125,,
8,50,2.365398406982422,,
8,60,1.595165491104126,,
8,70,2.1445491313934326,,
8,80,2.0854175090789795,,
8,86,1.939009428024292,2.4938705265522003,12.108050071438685
9,0,1.4659667015075684,,
9,10,1.9075958728790283,,
9,20,1.7668625116348267,,
9,30,1.4533151388168335,,
9,40,1.5885995626449585,,
9,50,2.0512847900390625,,
9,60,1.456270694732666,,
9,70,1.9836004972457886,,
9,80,1.9102365970611572,,
9,86,1.7723257541656494,2.520811975002289,12.438692471599087
10,0,1.2811126708984375,,
10,10,1.6565377712249756,,
10,20,1.6282695531845093,,
10,30,1.2750484943389893,,
10,40,1.415054440498352,,
10,50,1.7704460620880127,,
10,60,1.3270224332809448,,
10,70,1.8120429515838623,,
10,80,1.7104394435882568,,
10,86,1.6121532917022705,2.5823223888874054,13.227822663549949
