epoch,step,loss,hidden_norm,embed_norm,eval_loss,eval_ppl
1,0,0.029633142054080963,0.03563201054930687,0.035443805158138275,0.2129235565662384,1.2372900247573853
1,1,33.85709762573242,33.799224853515625,34.22930908203125,0.2129235565662384,1.2372900247573853
1,2,54.884639739990234,55.13766098022461,54.985355377197266,0.2129235565662384,1.2372900247573853
2,0,0.027274470776319504,0.029055913910269737,0.027069708332419395,0.22039243578910828,1.246565818786621
2,1,34.48899459838867,34.52217102050781,34.192962646484375,0.22039243578910828,1.246565818786621
2,2,56.61714553833008,56.796661376953125,56.45553970336914,0.22039243578910828,1.246565818786621
3,0,0.034858983010053635,0.02645317278802395,0.026678310707211494,0.21885573863983154,1.2446516752243042
3,1,34.25133514404297,35.0415153503418,34.49507141113281,0.21885573863983154,1.2446516752243042
3,2,57.720584869384766,58.043251037597656,57.88615798950195,0.21885573863983154,1.2446516752243042
4,0,0.03018907457590103,0.02003157138824463,0.02468796819448471,0.2203294038772583,1.2464872598648071
4,1,35.474403381347656,34.8331413269043,35.22883605957031,0.2203294038772583,1.2464872598648071
4,2,58.95657730102539,58.47159957885742,58.89628982543945,0.2203294038772583,1.2464872598648071
5,0,0.031078999862074852,0.022538168355822563,0.02667088620364666,0.20446348190307617,1.226866602897644
5,1,34.86864471435547,35.2044677734375,35.598609924316406,0.20446348190307617,1.226866602897644
5,2,59.37933349609375,59.553802490234375,59.38615798950195,0.20446348190307617,1.226866602897644
6,0,0.028921714052557945,0.02618124708533287,0.021713756024837494,0.22879353165626526,1.257082462310791
6,1,34.70026779174805,35.192626953125,34.7474250793457,0.22879353165626526,1.257082462310791
6,2,59.92914581298828,60.01189422607422,59.926151275634766,0.22879353165626526,1.257082462310791
7,0,0.024303438141942024,0.024475188925862312,0.02255719155073166,0.2224111258983612,1.2490848302841187
7,1,35.07965087890625,35.26500701904297,35.180179595947266,0.2224111258983612,1.2490848302841187
7,2,60.419586181640625,60.53166580200195,60.28398132324219,0.2224111258983612,1.2490848302841187
8,0,0.023282507434487343,0.03436516597867012,0.022443437948822975,0.22371907532215118,1.2507195472717285
8,1,35.4542236328125,34.45766067504883,35.480712890625,0.22371907532215118,1.2507195472717285
8,2,60.885101318359375,60.69534683227539,60.76915740966797,0.22371907532215118,1.2507195472717285
9,0,0.02776995114982128,0.02712544985115528,0.02888314053416252,0.21864882111549377,1.2443941831588745
9,1,35.409934997558594,34.98748016357422,35.236392974853516,0.21864882111549377,1.2443941831588745
9,2,61.06354522705078,61.15574264526367,61.066078186035156,0.21864882111549377,1.2443941831588745
10,0,0.02905683033168316,0.029974989593029022,0.02640853077173233,0.21209928393363953,1.2362706661224365
10,1,35.764373779296875,35.15790939331055,35.3487434387207,0.21209928393363953,1.2362706661224365
10,2,61.51465606689453,61.396141052246094,61.3071403503418,0.21209928393363953,1.2362706661224365
