file,line,seconds,kwargs,context
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,279,0.264809,{'run_time': 0.25},"tplay_csv(self, FadeIn(complexity, shift=UP*0.2), run_time=0.25)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,100,0.186752,{'run_time': 1.0},"tplay_csv(self, *[FadeIn(n, shift=DOWN, lag_ratio=0.05) for n in nodes], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,160,0.146228,{'run_time': 1.0},"tplay_csv(self, *[Create(a) for a in next_arrows], run_time=1.0)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,171,0.332263,{'run_time': 0.6},"tplay_csv(self, FadeIn(prev_ptr), FadeIn(curr_ptr), FadeIn(next_ptr), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.121015,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.303320,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.356875,,"tplay_csv(self, blink_line(0))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,196,0.342987,{'run_time': 0.6},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,209,0.154474,{'run_time': 0.25},"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.471178,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,243,0.393784,,"tplay_csv(self, blink_line(1))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.290291,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,249,0.407270,,"tplay_csv(self, blink_line(2))"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,229,0.120046,{'run_time': 0.6},"tplay_csv(self, nodes[curr_idx].box.animate.set_stroke(GREEN, 4).set_rate_func(there_and_back), run_time=0.6)"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,134,0.301251,,"tplay_csv(self,"
C:\Users\eugen\Documents\Tiniest Language Model\algorithm_visual_learning\singly_linked_list_reversal\_2_manim.py,234,0.390464,,"tplay_csv(self, blink_line(0))"
